Patel Hardware House,No Number!,0.0,1000,"Shop No 4, Chocolate Complex, Sadhuvaswani main road, University Road, Rajkot - 360005, Opposite Oscar City",,"Hardware Shops,"
Om Paints & Hardware,+(91)-281-2370645,0.0,1000,"Chandreshnagar Main Rd,Near Santosh, Dairy, University Campus, Rajkot - 360005",,"Hardware Shops,"
Shri Ram Hardware,+(91)-8586981204,0.0,1000,"University Campus, University Campus, Rajkot - 360005",,"Hardware Shops,"
Gayatri Hardware,+(91)-9803662700,0.0,1000,"Main Road, Gondal Road, Rajkot - 360004, Near Reliance Petrol Pump",,"Hardware Shops,"
Ravi Hardware,+(91)-9408527699,0.0,1000,"Somnath Complex, Main Road, University Road, Rajkot - 360005, Panchayat Chowk",,"Hardware Shops,"
Ravi Enterprise,+(91)-8511318084,0.0,1000,"Shop No 3, Somnath Apartment, University Road, Rajkot - 360005, Near Kotak Bank",,"Hardware Shops,"
Ravi Hardware And Sanitaryw..,+(91)-281-2571368,0.0,1000,"Somnath Appartment Ground Floor, Panchayat Nagar Chowk, University Road, Rajkot - 360005, Opp.Padmanabh Tower",,"Hardware Shops,"
Anil Hardware Stores,+(91)-281-2453449,0.0,1000,"Krishna Kunj, Rajkot Raiya Road, Rajkot - 360007, Nr.Railway Crossing Amrapali Cinema Main Rd",,"Hardware Shops,"
Shree Ram Hardware,+(91)-8000997272,0.0,1000,"Rani Tower, Main road, Rajkot Raiya Road, Rajkot - 360007, Opp crystal mall",,"Hardware Shops,"
Aquarium Bath Accessories,+(91)-9825072284,4.9,1000,"Padmi Society, Mavdi, Morbi Road, Rajkot - 360003",,"Hardware Shops,"
Patel Hardware & Sanitarywa..,+(91)-281-2578610,4.4,1000,"Suvarna Complex, Kotecha Chowk, University Road, Rajkot - 360005, Opposite Doshi Plaza",,"Hardware Shops,"
Laxmi Hardware & Plywood,+(91)-9879415280,4.7,1000,"Yash World Complex, Main Road, Nana Mava Main Road, Rajkot - 360005, Near Shashtrinagar Telephone Exchange",,"Hardware Shops,"
Laxmi Hardware And Plywood,+(91)-281-2331381,4.9,1000,"Yash Appartment, Nana Mava Road, Nana Mava, Rajkot - 360005, Near Madhav Estate",,"Hardware Shops,"
